name,Borough
Milton St & Franklin St,Brooklyn
E 82 St & East End Ave,Manhattan
3 Ave & E 100 St,Manhattan
Norman Ave & Leonard St,Brooklyn
31 Ave & Crescent St,Queens
E 20 St & Park Ave,Manhattan
Pearl St & Hanover Square,Manhattan
E 19 St & 3 Ave,Manhattan
DeKalb Ave & S Portland Ave,Brooklyn
Bus Slip & State St,Manhattan
2 Ave & E 96 St,Manhattan
Allen St & Hester St,Manhattan
E 31 St & 3 Ave,Manhattan
E 89 St & 3 Ave,Manhattan
Schermerhorn St & Court St,Brooklyn
Lewis Ave & Kosciuszko St,Brooklyn
E 103 St & Lexington Ave,Manhattan
Leonard St & Church St,Manhattan
E 51 St & Lexington Ave,Manhattan
W 95 St & Broadway,Manhattan
McGuinness Blvd & Eagle St,Brooklyn
West St & Chambers St,Manhattan
Broadway & Whipple St,Brooklyn
W 89 St & Columbus Ave,Manhattan
E 95 St & 3 Ave,Manhattan
Kane St & Clinton St,Brooklyn
Catherine St & Monroe St,Manhattan
31 Ave & 34 St,Queens
Columbia St & Lorraine St,Brooklyn
Vernon Blvd & 10 St,Queens
Broadway & W 122 St,Manhattan
35 Ave & 10 St,Queens
E 106 St & Lexington Ave,Manhattan
E 56 St & 3 Ave,Manhattan
Allen St & Rivington St,Manhattan
W 27 St & 7 Ave,Manhattan
Pike St & Monroe St,Manhattan
W 37 St & 10 Ave,Manhattan
W Broadway & Spring St,Manhattan
Henry St & Atlantic Ave,Brooklyn
E 58 St & 3 Ave,Manhattan
Mercer St & Bleecker St,Manhattan
W 42 St & 8 Ave,Manhattan
St James Pl & Pearl St,Manhattan
Huron St & Franklin St,Brooklyn
W 17 St & 8 Ave,Manhattan
W 18 St & 9 Ave,Manhattan
Atlantic Ave & Fort Greene Pl,Brooklyn
Columbus Ave & W 103 St,Manhattan
35 St & Broadway,Queens
1 Ave & E 62 St,Manhattan
Union St & 4 Ave,Brooklyn
Bond St & Fulton St,Brooklyn
Kosciuszko St & Nostrand Ave,Brooklyn
E 97 St & Madison Ave,Manhattan
Carlton Ave & Park Ave,Brooklyn
Cambridge Pl & Gates Ave,Brooklyn
Carroll St & Smith St,Brooklyn
W 100 St & Broadway,Manhattan
W 37 St & 5 Ave,Manhattan
Riverside Dr & W 72 St,Manhattan
Union Ave & N 12 St,Brooklyn
Lexington Ave & E 24 St,Manhattan
Ditmars Blvd & 19 St,Queens
Madison Ave & E 99 St,Manhattan
Madison St & Montgomery St,Manhattan
Greenwich Ave & Charles St,Manhattan
31 Ave & 30 St,Queens
West End Ave & W 107 St,Manhattan
Driggs Ave & N Henry St,Brooklyn
Reade St & Broadway,Manhattan
N 15 St & Wythe Ave,Brooklyn
Adam Clayton Powell Blvd & W 115 St,Manhattan
Amsterdam Ave & W 82 St,Manhattan
St James Pl & Oliver St,Manhattan
Myrtle Ave & St Edwards St,Brooklyn
E 118 St & 3 Ave,Manhattan
Soissons Landing,Manhattan
5 St & 51 Ave,Queens
Crescent St & Ditmars Blvd,Queens
South Waterfront Walkway - Sinatra Dr & 1 St,Other
E 116 St & 2 Ave,Manhattan
Crescent St & 34 Ave,Queens
DeKalb Ave & Vanderbilt Ave,Brooklyn
31 St & Astoria Blvd,Queens
Monroe St & Bedford Ave,Brooklyn
11 Ave & W 59 St,Manhattan
E 85 St & York Ave,Manhattan
8 Ave & W 52 St,Manhattan
1 Pl & Clinton St,Brooklyn
Columbia St & Kane St,Brooklyn
Leonard St & Maujer St,Brooklyn
Gold St & Frankfort St,Manhattan
Richardson St & N Henry St,Brooklyn
5 Ave & E 103 St,Manhattan
Pulaski St & Marcus Garvey Blvd,Brooklyn
W 90 St & Amsterdam Ave,Manhattan
Leonard St & Nassau Ave,Brooklyn
35 Ave & 37 St,Queens
Lexington Ave & E 120 St,Manhattan
Adam Clayton Powell Blvd & W 126 St,Manhattan
W 84 St & Columbus Ave,Manhattan
Atlantic Ave & Furman St,Brooklyn
Jay St & Tech Pl,Brooklyn
Lafayette Ave & St James Pl,Brooklyn
Murray St & Greenwich St,Manhattan
S 4 St & Rodney St,Brooklyn
Halsey St & Tompkins Ave,Brooklyn
48 Ave & 5 St,Queens
Nassau Ave & Newell St,Brooklyn
E 91 St & Park Ave,Manhattan
Sigourney St & Columbia St,Brooklyn
31 Ave & Steinway St,Queens
27 Ave & 9 St,Queens
Madison Ave & E 120 St,Manhattan
14 St & 5 Ave,Brooklyn
21 St & Queens Plaza North,Queens
W 87 St & West End Ave,Manhattan
W 37 St & Broadway,Manhattan
Court St & Nelson St,Brooklyn
E 128 St & Madison Ave,Manhattan
Marcy Ave & Lafayette Ave,Brooklyn
Devoe St & Lorimer St,Brooklyn
Henry St & Bay St,Brooklyn
Plaza St West & Flatbush Ave,Brooklyn
21 St & 36 Ave,Queens
E 93 St & 2 Ave,Manhattan
Lenox Ave & W 126 St,Manhattan
W 44 St & 5 Ave,Manhattan
Murray St & West St,Manhattan
Broadway & W 56 St,Manhattan
Harrison St & Hudson St,Manhattan
Broadway & Berry St,Brooklyn
William St & Pine St,Manhattan
Spruce St & Nassau St,Manhattan
Pleasant Ave & E 116 St,Manhattan
Prospect Pl & Vanderbilt Ave,Brooklyn
W 120 St & Claremont Ave,Manhattan
24 Ave & 26 St,Queens
Coffey St & Conover St,Brooklyn
Nostrand Ave & Myrtle Ave,Brooklyn
28 Ave & 35 St,Queens
3 Ave & 14 St,Brooklyn
Union St & Bedford Ave,Brooklyn
Lincoln Pl & Classon Ave,Brooklyn
Sterling St & Bedford Ave,Brooklyn
Park Ave & E 124 St,Manhattan
Henry St & W 9 St,Brooklyn
Classon Ave & St Marks Ave,Brooklyn
Pioneer St & Van Brunt St,Brooklyn
W 63 St & Broadway,Manhattan
Clermont Ave & Lafayette Ave,Brooklyn
Park Pl & Church St,Manhattan
Kent Ave & N 7 St,Brooklyn
Grand St & Havemeyer St,Brooklyn
Adam Clayton Powell Blvd & W 123 St,Manhattan
E 24 St & Park Ave S,Manhattan
Flushing Ave & Vanderbilt Ave,Brooklyn
Scholes St & Manhattan Ave,Brooklyn
Graham Ave & Withers St,Brooklyn
Monroe St & Tompkins Ave,Brooklyn
Carroll St & Columbia St,Brooklyn
4 Ave & 9 St,Brooklyn
Vernon Blvd & 47 Rd,Queens
Morningside Ave & W 123 St,Manhattan
Kingston Ave & Herkimer St,Brooklyn
Union Ave & Wallabout St,Brooklyn
24 Ave & 29 St,Queens
Congress St & Clinton St,Brooklyn
Riverview Park,Other
Steinway St & 28 Ave,Queens
3 St & Hoyt St,Brooklyn
Riverside Dr & W 104 St,Manhattan
36 Ave & 10 St,Queens
E 89 St & York Ave,Manhattan
Jackson St & Leonard St,Brooklyn
E 78 St & 2 Ave,Manhattan
40 Ave & 9 St,Queens
34 Ave & 21 St,Queens
E 68 St & Madison Ave,Manhattan
Smith St & 3 St,Brooklyn
W 78 St & Broadway,Manhattan
Amsterdam Ave & W 66 St,Manhattan
Putnam Ave & Nostrand Ave,Brooklyn
21 St & Hoyt Ave S,Queens
35 St & 34 Ave,Queens
Lenox Ave & W 130 St,Manhattan
Albany Ave & Fulton St,Brooklyn
Greene Ave & Nostrand Ave,Brooklyn
Lenox Ave & W 117 St,Manhattan
Park Ave & St Edwards St,Brooklyn
E 102 St & Park Ave,Manhattan
Steinway St & 23 Ave,Queens
Meserole Ave & Manhattan Ave,Brooklyn
9 St & 44 Rd,Queens
W 87 St & Amsterdam Ave,Manhattan
W 129 St & Convent Ave,Manhattan
6 Ave & 9 St,Brooklyn
Frederick Douglass Blvd & Harlem River Dr,Manhattan
37 St & 24 Ave,Queens
Railroad Ave & Kay Ave,Brooklyn
1 Ave & E 94 St,Manhattan
37 Ave & 35 St,Queens
30 Ave & 21 St,Queens
Underhill Ave & Pacific St,Brooklyn
Newtown Ave & 23 St,Queens
34 Ave & 13 St,Queens
Prospect Ave & E 167 St,Bronx
Kosciuszko St & Tompkins Ave,Brooklyn
49 Ave & 21 St,Queens
23 Ave & 27 St,Queens
Sterling Pl & Bedford Ave,Brooklyn
Eastern Pkwy & Washington Ave,Brooklyn
28 St & 41 Ave,Queens
Morningside Dr & Amsterdam Ave,Manhattan
Pacific St & Nevins St,Brooklyn
Rogers Ave & Sterling St,Brooklyn
Pioneer St & Richards St,Brooklyn
Mt Morris Park W & W 120 St,Manhattan
34 St & 35 Ave,Queens
Pleasant Ave & E 120 St,Manhattan
Park Pl & Utica Ave,Brooklyn
Main St & Plymouth St,Brooklyn
N 5 St & Wythe Ave,Brooklyn
Ocean Ave & Tennis Ct,Brooklyn
E 118 St & Park Ave,Manhattan
50 Ave & 65 St,Queens
Vernon Blvd & 41 Rd,Queens
Strong St & University Ave,Bronx
43 St & 50 Ave,Queens
2 Ave & 37 St,Brooklyn
Verveelen Pl & Broadway,Bronx
81 St & 34 Ave,Queens
Amsterdam Ave & W 189 St,Manhattan
41 Ave & 77 St,Queens
30 St & 48 Ave,Queens
White St & Moore St,Brooklyn
Irving Ave & Palmetto St,Brooklyn
Paulus Hook,Other
Norman St & Wyckoff Ave,Queens
Broadway & W 138 St,Manhattan
Jerome Ave & Bedford Park Blvd E,Bronx
Grand Ave & Remsen Pl,Queens
E 38 St & Church Ave,Brooklyn
Matthews Ct & Coney Island Ave,Brooklyn
New York Ave & St Marks Ave,Brooklyn
46 St & 25 Ave,Queens
Pulaski St & Throop Ave,Brooklyn
Wilson Ave & Moffat St,Brooklyn
Gleane St & Britton Ave,Queens
51 Ave & Alstyne Ave,Queens
28 Ave & 44 St,Queens
59 St & 5 Ave,Brooklyn
W 51 St & 7 Ave,Manhattan
Walton Ave & E 176 St,Bronx
Central Ave & Starr St,Brooklyn
Greenwich St & Hubert St,Manhattan
W 104 St & Amsterdam Ave,Manhattan
Riverside Dr & W 91 St,Manhattan
Crescent St & 35 Ave,Queens
Plaza Dr & W 170 St,Bronx
7 Ave & Park Pl,Brooklyn
31 St & Hoyt Ave N,Queens
Dean St & Franklin Ave,Brooklyn
21 St & 31 Dr,Queens
Broadway & Moylan Pl,Manhattan
31 Ave & 14 St,Queens
W 113 St & Broadway,Manhattan
W 116 St & Amsterdam Ave,Manhattan
Vernon Blvd & 31 Ave,Queens
Bailey Ave & W 234 St,Bronx
Pacific St & Classon Ave,Brooklyn
E 114 St & 1 Ave,Manhattan
E 135 St & St Ann's Ave,Bronx
31 St & Northern Blvd,Queens
E 123 St & Lexington Ave,Manhattan
21 St & 38 Ave,Queens
58 St & Pier 4,Brooklyn
4 St & Grand St,Other
Carroll St & Franklin Ave,Brooklyn
27 St & Hunter St,Queens
4 Ave & 3 St,Brooklyn
E 187 St & 3 Ave,Bronx
Montgomery St & Franklin Ave,Brooklyn
Dixon Mills,Other
Hamilton Park,Other
E 182 St & Morris Ave,Bronx
